时间,当日值,环比值,同比值
20:45:00,0,10580,9411
20:46:00,0,10461,9876
20:47:00,0,10463,9727
20:48:00,0,10485,9667
20:49:00,0,10360,10067
20:50:00,0,10476,9951
20:51:00,0,10437,9898
20:52:00,0,10276,9889
20:53:00,0,10413,9875
20:54:00,0,10644,9987
20:55:00,0,10676,10299
20:56:00,0,10590,10260
20:57:00,0,10736,10377
20:58:00,0,10971,10459
20:59:00,0,10822,10382
21:00:00,0,10978,10326
21:01:00,0,11291,10655
21:02:00,0,11506,10697
21:03:00,0,11290,10477
21:04:00,0,11436,10094
21:05:00,0,11285,10235
21:06:00,0,11403,10444
21:07:00,0,11407,10587
21:08:00,0,11478,10483
21:09:00,0,11426,10436
21:10:00,0,11291,10359
21:11:00,0,11569,10375
21:12:00,0,11448,10343
21:13:00,0,11576,10416
21:14:00,0,11698,10555
21:15:00,0,11220,10641
21:16:00,0,11372,10441
21:17:00,0,11499,10269
21:18:00,0,11507,10307
21:19:00,0,10895,10323
21:20:00,0,11171,10017
21:21:00,0,11107,10146
21:22:00,0,11050,10194
21:23:00,0,11239,10223
21:24:00,0,11025,9977
21:25:00,0,11195,9907
21:26:00,0,11180,9867
21:27:00,0,11212,9896
21:28:00,0,11398,9942
21:29:00,0,11081,9925
21:30:00,0,10811,10230
21:31:00,0,11148,9936
21:32:00,0,11090,10012
21:33:00,0,11069,10106
21:34:00,0,11322,9918
21:35:00,0,11279,10056
21:36:00,0,11392,9918
21:37:00,0,11257,10010
21:38:00,0,11145,10101
21:39:00,0,11165,9912
21:40:00,0,11455,9838
21:41:00,0,11354,9785
21:42:00,0,11152,9691
21:43:00,0,11238,9708
21:44:00,0,10594,9639
21:45:00,0,10702,9475
21:46:00,0,10593,9606
21:47:00,0,10700,9401
21:48:00,0,10448,9276
21:49:00,0,9937,9222
21:50:00,0,9905,9277
21:51:00,0,9845,9206
21:52:00,0,9949,9208
21:53:00,0,10032,9011
21:54:00,0,10184,9191
21:55:00,0,10277,9272
21:56:00,0,10123,9430
21:57:00,0,10384,9415
21:58:00,0,10363,9324
21:59:00,0,10760,9520
22:00:00,0,10984,9461
22:01:00,0,10825,9570
22:02:00,0,10895,9398
22:03:00,0,11184,9569
22:04:00,0,10680,9477
22:05:00,0,10610,9495
22:06:00,0,10806,9646
22:07:00,0,10719,9346
22:08:00,0,10678,9178
22:09:00,0,10497,9024
22:10:00,0,10288,9059
22:11:00,0,10175,8788
22:12:00,0,10158,8699
22:13:00,0,10192,8538
22:14:00,0,9653,8598
22:15:00,0,9340,8319
22:16:00,0,9545,8561
22:17:00,0,9290,8258
22:18:00,0,9346,8233
22:19:00,0,9045,8120
22:20:00,0,8780,7888
22:21:00,0,8894,7852
22:22:00,0,8709,7981
22:23:00,0,8530,7684
22:24:00,0,8759,8061
22:25:00,0,8707,7902
22:26:00,0,8573,7845
22:27:00,0,8537,8013
22:28:00,0,8678,7792
22:29:00,0,8734,7646
22:30:00,0,8781,7523
22:31:00,0,8734,7568
22:32:00,0,8649,7512
22:33:00,0,8558,7519
22:34:00,0,8442,7354
22:35:00,0,8321,7199
22:36:00,0,8149,7332
22:37:00,0,8108,7380
22:38:00,0,7996,7112
22:39:00,0,7980,6773
22:40:00,0,7506,7070
22:41:00,0,7770,6718
22:42:00,0,7796,6836
22:43:00,0,7612,6855
22:44:00,0,7394,6715
22:45:00,0,7280,6570
22:46:00,0,7165,6528
22:47:00,0,7242,6525
22:48:00,0,6873,6350
22:49:00,0,7102,6229
22:50:00,0,7050,6181
22:51:00,0,6956,6161
22:52:00,0,6774,5980
22:53:00,0,6739,6043
22:54:00,0,6631,5813
22:55:00,0,6450,5890
22:56:00,0,6533,5861
22:57:00,0,6503,5804
22:58:00,0,6391,5672
22:59:00,0,6615,5753
23:00:00,0,6285,5517
23:01:00,0,6485,5543
23:02:00,0,6441,5561
23:03:00,0,6402,5526
23:04:00,0,6537,5772
23:05:00,0,6380,5578
23:06:00,0,6356,5614
23:07:00,0,6305,5513
23:08:00,0,6210,5501
23:09:00,0,6022,5443
23:10:00,0,6012,5320
23:11:00,0,5923,5260
23:12:00,0,5899,5196
23:13:00,0,5820,5180
23:14:00,0,5712,4865
23:15:00,0,5595,4969
23:16:00,0,5592,4920
23:17:00,0,5621,4787
23:18:00,0,5469,4731
23:19:00,0,5362,4556
23:20:00,0,5416,4664
23:21:00,0,5360,4576
23:22:00,0,5321,4446
23:23:00,0,5223,4460
23:24:00,0,5276,4594
23:25:00,0,5186,4695
23:26:00,0,5257,4869
23:27:00,0,5288,4722
23:28:00,0,5162,4629
23:29:00,0,5321,4672
23:30:00,0,5235,4617
23:31:00,0,5236,4568
23:32:00,0,5163,4582
23:33:00,0,5246,4640
23:34:00,0,5101,4392
23:35:00,0,5144,4268
23:36:00,0,5112,4339
23:37:00,0,5016,4324
23:38:00,0,4810,4278
23:39:00,0,4689,4109
23:40:00,0,4757,4070
23:41:00,0,4736,4052
23:42:00,0,4618,3942
23:43:00,0,4603,3952
23:44:00,0,4558,3824
23:45:00,0,4471,3885
23:46:00,0,4558,3924
23:47:00,0,4407,3773
23:48:00,0,4325,3710
23:49:00,0,4382,3893
23:50:00,0,4343,3923
23:51:00,0,4338,3927
23:52:00,0,4408,3867
23:53:00,0,4220,3952
23:54:00,0,4301,3748
23:55:00,0,4392,3732
23:56:00,0,4269,3785
23:57:00,0,4217,3832
23:58:00,0,4401,3806
23:59:00,0,4308,3634
